date,itemid,fiscalyear,Item,sheet,Nominal millions of dollars,Real 2019 millions of dollars,Real 2019 per capita dollars,Share of GDP,Share of Total revenue
1887,521,1886/1887,Debt charges,all,10,266.2082824707031,57.54610443115234,.0163645762950182,.2777777910232544
1887,530,1886/1887,Cash deficit (+) or surplus (-),all,4,106.4833145141602,23.01844215393066,.0065458309836686,.1111111119389534
1888,100,1887/1888,Net federal debt,all,235,6060.76708984375,1295.58935546875,.3728359639644623,6.527777671813965
1888,200,1887/1888,Financial assets,all,50,1289.52490234375,275.6573181152344,.0793268010020256,1.388888835906982
1888,300,1887/1888,Gross federal debt,all,285,7350.2919921875,1571.246704101563,.4521627426147461,7.916666507720947
1888,310,1887/1888,Unmatured debt,all,200,5158.099609375,1102.629272460938,.3173072040081024,5.55555534362793
1888,311,1887/1888,Treasury bills,all,0,0,0,0,0
1888,312,1887/1888,Canada savings bonds,all,0,0,0,0,0
1888,313,1887/1888,Marketable bonds,all,194,5003.35693359375,1069.550415039063,.3077879846096039,5.388888835906982
1888,320,1887/1888,Superannuation accounts,all,0,0,0,0,0
1888,330,1887/1888,Other liabilities,all,85,2192.1923828125,468.617431640625,.1348555535078049,2.361111164093018
1888,401,1887/1888,Unmatured debt payable in foreign currencies,all,177,4564.91845703125,975.8269653320313,.2808168828487396,4.916666507720947
1888,521,1887/1888,Debt charges,all,10,257.9049987792969,55.13146591186523,.0158653594553471,.2777777910232544
1888,530,1887/1888,Cash deficit (+) or surplus (-),all,7,180.5334930419922,38.59202575683594,.0111057516187429,.1944444477558136
1889,100,1888/1889,Net federal debt,all,238,6202.62744140625,1311.614990234375,.3629376590251923,6.102564334869385
1889,200,1888/1889,Financial assets,all,50,1303.072998046875,275.5493774414063,.0762474089860916,1.28205132484436
1889,300,1888/1889,Gross federal debt,all,288,7505.7001953125,1587.164306640625,.4391850531101227,7.384615421295166
1889,310,1888/1889,Unmatured debt,all,204,5316.53759765625,1124.241455078125,.311089426279068,5.230769157409668
1889,311,1888/1889,Treasury bills,all,0,0,0,0,0
1889,312,1888/1889,Canada savings bonds,all,0,0,0,0,0
1889,313,1888/1889,Marketable bonds,all,204,5316.53759765625,1124.241455078125,.311089426279068,5.230769157409668
1889,320,1888/1889,Superannuation accounts,all,0,0,0,0,0
1889,330,1888/1889,Other liabilities,all,84,2189.16259765625,462.9229431152344,.1280956417322159,2.153846263885498
1889,401,1888/1889,Unmatured debt payable in foreign currencies,all,188,4899.55419921875,1036.065551757813,.2866902351379395,4.820512771606445
1889,521,1888/1889,Debt charges,all,10,260.6145935058594,55.1098747253418,.0152494814246893,.2564102709293365
1889,530,1888/1889,Cash deficit (+) or surplus (-),all,3,78.18437957763672,16.53296279907227,.0045748446136713,.0769230797886848
1890,100,1889/1890,Net federal debt,all,238,6280.6103515625,1314.210205078125,.347232848405838,5.949999809265137
1890,200,1889/1890,Financial assets,all,48,1266.677734375,265.05078125,.070030152797699,1.200000047683716
1890,300,1889/1890,Gross federal debt,all,286,7547.2880859375,1579.260986328125,.417263001203537,7.150000095367432
