"date","itemid","fiscalyear","Item","Normalization","Value"
1899,320,"1898/1899","Superannuation accounts","Nominal millions of dollars",0
1899,330,"1898/1899","Other liabilities","Nominal millions of dollars",104
1899,401,"1898/1899","Unmatured debt payable in foreign currencies","Nominal millions of dollars",228
1899,521,"1898/1899","Debt charges","Nominal millions of dollars",11
1899,530,"1898/1899","Cash deficit (+) or surplus (-)","Nominal millions of dollars",2
1900,100,"1899/1900","Net federal debt","Nominal millions of dollars",265
1900,200,"1899/1900","Financial assets","Nominal millions of dollars",82
1900,300,"1899/1900","Gross federal debt","Nominal millions of dollars",347
1900,310,"1899/1900","Unmatured debt","Nominal millions of dollars",237
1900,311,"1899/1900","Treasury bills","Nominal millions of dollars",0
1900,312,"1899/1900","Canada savings bonds","Nominal millions of dollars",0
1900,313,"1899/1900","Marketable bonds","Nominal millions of dollars",237
1900,320,"1899/1900","Superannuation accounts","Nominal millions of dollars",0
1900,330,"1899/1900","Other liabilities","Nominal millions of dollars",110
1900,401,"1899/1900","Unmatured debt payable in foreign currencies","Nominal millions of dollars",228
1900,521,"1899/1900","Debt charges","Nominal millions of dollars",11
